"proof_id","pilot_id","company","ticker","bridge_model","current_grade","missing_join","target_source","source_status","exact_extraction_fields","pass_test","fail_test","promotion_if_pass","current_safe_claim","priority"
"CFPGU-001","CF519P2-010","ONEOK, Inc.","OKE","source-use-output-return bridge","source-table and output-proxy visible","growth versus maintenance capex by project","Q2 2026 10-Q and Q2 2026 earnings presentation project appendix","source-ledger pointer","project name; gross capex; remaining capex; in-service date; growth/maintenance split; segment","At least one named project links capex, in-service timing, and operating segment.","Only aggregate company capex is available.","project-economics candidate","ONEOK shows company-level capital-use and output proxies, not project-level returns.","1"
"CFPGU-002","CF519P2-010","ONEOK, Inc.","OKE","source-use-output-return bridge","source-table and output-proxy visible","throughput by segment and project","Q2 2026 earnings tables and segment volume schedules","source-ledger pointer","NGL raw feed; refined products shipped; natural gas processed; region; segment; period","Volume growth is numeric by segment and can be tied to operating system additions or acquisitions.","Only narrative volume direction is available.","output-denominator visible","ONEOK has output proxy evidence across the integrated network.","1"
"CFPGU-003","CF519P2-010","ONEOK, Inc.","OKE","source-use-output-return bridge","cash-proxy visible","incremental EBITDA or synergy by acquisition/project","Q2 2026 earnings presentation and 2025 10-K MD&A","source-ledger pointer","project/acquisition; synergy; EBITDA contribution; optimization/marketing contribution; period","A named acquisition or project has disclosed contribution or synergy capture.","EBITDA remains consolidated or segment-only.","return-proxy candidate","ONEOK has cash-generation evidence but not return attribution.","2"
"CFPGU-004","CF519P2-010","ONEOK, Inc.","OKE","source-use-output-return bridge","source-pointer visible","contract/tariff/customer support for major assets","2025 10-K contract and rate-regulation sections","source-ledger pointer","tariff/regulatory regime; customer/contract type; take-or-pay/minimum volume; renewal/reset risk","A material asset has explicit contract or tariff support and renewal risk described.","Only asset ownership or mileage is disclosed.","durability-proxy visible","ONEOK's network scale is visible but not yet contract-quality visible.","2"
"CFPGU-005","CF519P2-011","MasTec, Inc.","MTZ","backlog return/risk bridge","backlog, revenue, output, and cash-proxy visible","backlog by segment and funded status","Q2 2026 earnings release, Q2 presentation, and 2025 10-K backlog note","source-ledger pointer","segment backlog; 18-month backlog; funded/awarded status; cancellation terms; customer concentration","Backlog is split by segment with enough contract-status detail to separate demand from signed/funded work.","Backlog is only aggregate or non-cancellable status is unclear.","backlog-quality visible","MasTec backlog is demand evidence, not cash recovery proof.","1"
"CFPGU-006","CF519P2-011","MasTec, Inc.","MTZ","backlog return/risk bridge","output-to-revenue visible","segment margin and conversion quality","Q2 2026 earnings release and segment tables","source-ledger pointer","segment revenue; segment operating income/EBITDA; gross margin; backlog change; revenue growth","A segment-level table connects revenue growth to margin or EBITDA by lane.","Revenue growth is visible but margin remains consolidated.","backlog-return proxy","MasTec can show revenue conversion before project-level return.","1"
"CFPGU-007","CF519P2-011","MasTec, Inc.","MTZ","backlog return/risk bridge","cash-proxy visible","working-capital drag and retainage collection","Q2 2026 cash-flow statement and 2025 10-K contract asset/liability notes","source-ledger pointer","operating cash flow; contract assets; contract liabilities; retainage; DSO; capex","Cash conversion improves or can be reconciled against backlog/revenue growth.","Working capital absorbs growth and no retainage/contract-asset bridge is available.","cash-conversion visible","MasTec adjusted EBITDA alone is not cash recovery proof.","2"
"CFPGU-008","CF519P2-011","MasTec, Inc.","MTZ","backlog return/risk bridge","output visible","project execution risk and fixed-price exposure","2025 10-K risk factors and contract-type disclosure","source-ledger pointer","fixed-price exposure; cost overrun language; change orders; claims; project delays; customer concentration","Risk disclosures allow backlog quality to be stress-tested against contract type and customer concentration.","Risks remain generic and cannot be connected to backlog lanes.","durability-risk visible","MasTec's physical output is real, but execution risk controls are still needed.","2"
"CFPGU-009","CF519P2-012","Plains All American Pipeline, L.P.","PAA","source-use-output-return bridge","capital-stack, project-output, and cash-proxy visible","Cactus III capex and project economics","Q2 2026 earnings materials and project references","source-ledger pointer","project capex; expansion capacity; in-service date; expected EBITDA; synergy; funding source","Cactus III expansion links capacity to capex and expected or actual contribution.","Only capacity addition is visible.","project-return candidate","Plains has project-output evidence but not project economics.","1"
"CFPGU-010","CF519P2-012","Plains All American Pipeline, L.P.","PAA","source-use-output-return bridge","project-output visible","shipper contracts and tariff support","FERC/tariff materials, contract reset discussion, and 2025 10-K commercial sections","follow-up source needed","shipper commitment; tariff/rate structure; contract duration; minimum volume; reset date","Expansion volume is supported by disclosed commercial commitments or tariff terms.","No shipper/tariff evidence connects to the expansion.","contract-durability visible","Plains capacity evidence does not prove utilization or pricing durability.","1"
"CFPGU-011","CF519P2-012","Plains All American Pipeline, L.P.","PAA","source-use-output-return bridge","capital-stack visible","sale proceeds and debt maturity after divestiture","Q2 2026 10-Q, debt footnote, and Canadian NGL sale close disclosure","source-ledger pointer","sale proceeds; debt retired; maturity retired; interest savings; leverage before/after","Debt reduction is reconciled to proceeds and maturity/interest schedule.","Debt reduction is only management summary.","balance-sheet-durability visible","Plains shows capital-stack repair, not necessarily operating return.","2"
"CFPGU-012","CF519P2-012","Plains All American Pipeline, L.P.","PAA","source-use-output-return bridge","cash-proxy visible","segment EBITDA after portfolio simplification","Q2 2026 segment EBITDA and 2026 guidance bridge","source-ledger pointer","segment EBITDA; crude/NGL split; Canadian NGL contribution removed; guidance bridge; free cash flow","Crude-focused EBITDA/free-cash-flow bridge is visible after the NGL sale.","EBITDA remains mixed or one-time gain obscures baseline.","portfolio-return proxy","Plains has cash proxy evidence but needs cleaner post-sale denominator.","2"
"CFPGU-013","CF519P2-013","Targa Resources Corp.","TRGP","source-use-output-return bridge","capital-use, project-output, and cash-proxy visible","growth capital by named project","Q2 2026 supplement, 2025 10-K project table, and earnings presentation","source-ledger pointer","project name; capex; capacity; in-service date; segment; remaining spend","Named projects link capex to capacity and in-service timing.","Growth capital remains aggregate.","project-economics candidate","Targa has visible growth capital but not project-level return.","1"
"CFPGU-014","CF519P2-013","Targa Resources Corp.","TRGP","source-use-output-return bridge","project-output visible","utilization and volume by project/asset class","Q2 2026 supplement volume tables","source-ledger pointer","Permian inlet; NGL transport; fractionation; LPG export; capacity; utilization; period","Volume/capacity metrics can be tied to Train 11, Delaware Express, East Driver, or related system additions.","Only record-volume narrative is available.","output-denominator visible","Targa has physical output evidence, but fill-rate proof is incomplete.","1"
"CFPGU-015","CF519P2-013","Targa Resources Corp.","TRGP","source-use-output-return bridge","funding-capacity visible","financing source and liquidity draw for growth queue","Q2 2026 10-Q debt footnote, credit facility disclosure, and notes offering disclosure","source-ledger pointer","debt issued; revolver/commercial paper draw; capex funding source; liquidity; maturity; rate","Growth capital funding can be tied to debt/liquidity/equity sources with maturity profile.","Liquidity is visible but not tied to growth project funding.","funding-source visible","Targa's liquidity supports capacity but does not allocate capital to projects.","2"
"CFPGU-016","CF519P2-013","Targa Resources Corp.","TRGP","source-use-output-return bridge","cash-proxy visible","incremental EBITDA contribution from new assets","Q2 2026 earnings bridge and project commentary","source-ledger pointer","project/start-up; incremental EBITDA; margin; marketing contribution; outage impact; period","At least one new asset or expansion has disclosed EBITDA/contribution or utilization-linked margin.","EBITDA remains consolidated and project contribution is not disclosed.","return-proxy candidate","Targa shows record EBITDA alongside projects, not project return attribution.","2"
"CFPGU-017","CF519P2-014","NextEra Energy, Inc.","NEE","approved-recovery bridge","regulated-capital and contracted-output proxy visible","FPL recovery mechanism by capital category","FPL rate case filings, riders, and commission orders","follow-up regulatory source needed","docket; order date; approved capital; rider/base-rate mechanism; ROE; customer protection; status","A capital category has docket/order-level recovery terms and customer protections.","Capital employed is visible but recovery terms remain aggregate.","approved-recovery visible","FPL regulatory capital is proxy evidence until docket-level recovery is extracted.","1"
"CFPGU-018","CF519P2-014","NextEra Energy, Inc.","NEE","approved-recovery bridge","contracted-output proxy visible","Energy Resources backlog contract and in-service detail","Q2 2026 earnings presentation, backlog table, and financial-statement supplement","source-ledger pointer","project MW; technology; customer/PPA type; contract duration; in-service year; development status","Backlog is split by technology/status with enough contract/in-service detail to test conversion.","Backlog is aggregate GW with no project/customer detail.","contracted-output visible","Energy Resources backlog is output proxy, not project-return proof.","1"
