"metric_id","proof_id","pilot_id","company","ticker","source_id","local_path","period","extracted_field","value","unit","evidence_result","promotion_result","what_it_proves","what_it_does_not_prove","next_gap"
"CFPGM2-001","CFPGU-001","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-tables","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-tables.pdf","Q2 2026","capital expenditures less AFUDC, six months ended June 30 2026","1477","USD millions","source-table extracted","capex-table-visible","ONEOK's six-month 2026 capital expenditure table is now locally parsed from the official PDF.","It still does not allocate capex by named project.","Extract project appendix or capex-by-project detail."
"CFPGM2-002","CFPGU-001","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-tables","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-tables.pdf","Q2 2026","NGL segment capital expenditures","202 Q2; 512 six months","USD millions","segment capex extracted","segment-capex-visible","ONEOK discloses NGL segment capex for Q2 and H1 2026.","It does not tie NGL capex to a named fractionator, pipeline, or plant return.","Extract project list and NGL asset-level spending."
"CFPGM2-003","CFPGU-001","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-tables","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-tables.pdf","Q2 2026","Refined Products and Crude segment capital expenditures","191 Q2; 371 six months","USD millions","segment capex extracted","segment-capex-visible","ONEOK discloses Refined Products and Crude segment capex for Q2 and H1 2026.","It does not allocate spending to the Greater Denver expansion or other named assets.","Extract Denver project cost, capacity, and contribution if disclosed."
"CFPGM2-004","CFPGU-002","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-tables","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-tables.pdf","Q2 2026","refined products volume shipped","1629 Q2 2026 versus 1503 Q2 2025","MBbl/d","absolute volume extracted","output-denominator-visible","ONEOK's refined-products output denominator is now absolute, not only a percentage change.","It does not prove project-level utilization or tariff economics.","Tie volume change to Denver expansion, rates, and contract/tariff support."
"CFPGM2-005","CFPGU-002","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-tables","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-tables.pdf","Q2 2026","Refined Products and Crude adjusted EBITDA","627 Q2 2026 versus 557 Q2 2025","USD millions","segment EBITDA extracted","segment-cash-proxy-visible","ONEOK's refined-products/crude segment pairs higher volumes with higher adjusted EBITDA.","It does not isolate contribution by named expansion or customer contract.","Extract project contribution bridge and tariff/rate mechanics."
"CFPGM2-006","CFPGU-002","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-presentation.pdf","Q2 2026","Greater Denver expansion contribution timing","contributions from completed Denver refined-products expansion project expected in optimal operating conditions","project contribution cue","project-status-plus-contribution-cue","project-output-candidate","ONEOK's presentation links the completed Denver expansion to expected earnings contribution in a seasonal setup.","It does not quantify capex, capacity, revenue, EBITDA, tariff, or return for the project.","Find Denver expansion project page, tariff/rate detail, or future contribution disclosure."
"CFPGM2-007","CFPGU-002","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-presentation.pdf","Q2 2026","data center and electric generation opportunities","more than 40 counterparties; more than 5 Bcf/d potential demand","counterparties / Bcf per day","demand-pipeline extracted","demand-pipeline-visible","ONEOK identifies a large prospective natural-gas demand pipeline tied to data centers and power generation.","It does not prove signed contracts, capex commitment, or project return.","Track executed contracts and related capex/project disclosures."
"CFPGM2-008","CFPGU-006","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-10q-pdf","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-10q.pdf","Six months ended June 30 2026","net cash provided by operating activities","120.322","USD millions","cash flow extracted","cash-conversion-visible","MasTec has positive H1 operating cash flow in the filed 10-Q.","It does not allocate cash conversion by segment or backlog cohort.","Extract contract asset/liability movements and compare to segment backlog."
"CFPGM2-009","CFPGU-006","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-10q-pdf","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-10q.pdf","Six months ended June 30 2026","capital expenditures","188.312","USD millions","capex extracted","cash-after-capex-visible","MasTec's H1 capex is visible against operating cash flow.","It does not show project-level capital need or return.","Calculate operating cash flow less capex and relate to backlog growth."
"CFPGM2-010","CFPGU-006","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-10q-pdf","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-10q.pdf","June 30 2026","contract liabilities","760.912","USD millions","contract liability extracted","customer-funding-proxy-visible","MasTec discloses contract liabilities that can serve as a customer-funding/timing proxy.","It does not prove funded backlog by segment or project.","Extract contract assets and compare net contract position to backlog."
"CFPGM2-011","CFPGU-006","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-10q-pdf","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-10q.pdf","June 30 2026","long-term debt including finance leases","2573.839","USD millions","debt extracted","capital-stack-visible","MasTec's filed balance sheet shows debt scale supporting the backlog/cash conversion read.","It does not allocate debt to projects, acquisitions, or working-capital needs.","Extract debt footnote, facility borrowings, and acquisition funding."
"CFPGM2-012","CFPGU-005","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-10q-pdf","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-10q.pdf","Q2 2026","segment structure","Communications; Clean Energy and Infrastructure; Power Delivery; Pipeline Infrastructure; Other","reportable segments","segment taxonomy extracted","segment-bridge-visible","The 10-Q confirms MasTec's reportable segment structure for backlog/margin extraction.","It does not by itself give funded status or project returns.","Extract segment revenue/EBITDA table into normalized rows."
